Cell-cycle variance	Genetic variance	Cell-cycle q-value	Genetic q-value	total umis	gene id	gene name		
0.010052213236878634	2.9483627634261435e-9	0.013462023011151894	3.948476462959591e-9	1.1393318317707442e-4	1	2662	YAL030W	SNC1
1.6899457340471636e-59	4.9964213827818864e-33	5.358961840211872e-59	1.5844077705278257e-32	NA	1	312	YAL029C	MYO4
0.029959883090622048	0.0025896160892048482	0.09884548256460098	0.008543820121735773	9.484780214049208e-4	1	313	YAL028W	FRT2
0.00911681991588465	0.028675638772607714	0.03180236353540282	0.10002973594634963	0.18358683654097144	0.5189994699239677	272	YAL027W	SAW1
0.005187707168560331	3.3897720251150345e-7	0.017783134047111366	1.1619925403094342e-6	NA	1	244	YAL026C	DRS2
0.04002372755609738	0.041012666597065865	0.11253686023190933	0.11531751314524334	2.061793225906947e-7	0.023155467981112118	595	YAL025C	MAK16
0.06983880072025811	0.019200337025908943	0.07951995207425731	0.021861914356541726	9.616771216430735e-60	0.007032244480019451	4246	YAL023C	PMT2
0.025557879592057946	1.9322912043044977e-6	0.07885966721659173	5.96214724261991e-6	NA	NA	371	YAL022C	FUN26
0.00788792427486398	1.3887504119874894e-8	0.018352762284169453	3.2311930610779466e-8	0.013937782677818703	1	787	YAL021C	CCR4
5.536153574334578e-41	0.010394121438335294	1.7407963354687949e-40	0.03268342950989496	1	NA	337	YAL020C	ATS1
0.015364727967919158	0.01864740240852564	0.05005545693878782	0.06074980632453165	0.10092222609714303	0.7268135509612738	326	YAL019W	FUN30
0.014622845988478878	0.00670730270036264	0.04717978141147852	0.0216407309160648	0.03173929952691509	1	319	YAL017W	PSK1
0.0033360105987726646	0.011312334863079991	0.005737168423046809	0.01945460556728189	NA	0.3706133107573589	1608	YAL016W	TPD3
0.008171675499359468	4.693286063238075e-5	0.026342780656325115	1.5129602898568254e-4	0.13584848990886295	1	320	YAL015C	NTG1
0.012245191412662578	0.01634343424226948	0.023669191113617455	0.03159083884414371	NA	NA	1289	YAL014C	SYN8
0.011563220427753002	5.5135523967243205e-6	0.031179281384267673	1.4866844637136853e-5	0.006757273765549242	1	559	YAL013W	DEP1
0.005475614948935139	0.014280248944943183	0.006044891067301718	0.015764904963399457	0.0018050423766994043	0.06169957692219672	3875	YAL012W	CYS3
2.5570735814178874e-16	3.558855377670737e-8	8.022591554275486e-16	1.1165593083933705e-7	1	1	347	YAL011W	SWC3
0.010681825863391461	0.014320830464000317	0.04107507139841204	0.055068219732858054	0.3339985071280589	1	174	YAL010C	MDM10
