gene	gene_name	beta.old	p.old	p_adj.old	beta.hmm	p.hmm	p_adj.hmm	sig_both
YNL322C	KRE1	0.08438954154988199	0.019499620713930917	0.1057164171670082	0.16967440706376616	1.4712255882110789e-5	2.4317941158389687e-4	0
YNL160W	YGP1	0.0074774746104706614	0.9168547520739697	0.9643970978699906	0.022947487732249205	0.7485647312137964	0.8899008760963832	0
YNL159C	ASI2	-0.08751599019049575	0.3157601242586268	0.5979410083412353	-0.10677452648751548	0.24609567029675466	0.5106328874362382	0
YNL157W	IGO1	-0.09554917835771115	0.02807548401378653	0.13790520591534733	-0.14450893363928832	0.0016471216652321223	0.013870349280588714	0
YNL156C	NSG2	-0.029393718350632116	0.48208458240560836	0.7388044210037169	-0.02304237329476166	0.6062238268010111	0.8119986267154291	0
YNL155W	CUZ1	-0.007719632675213251	0.90086208848984906	0.9544862412351649	-0.006711344303943312	0.9192754056003232	0.9684834898267722	0
YNL154C	YCK2	0.06849640606916131	0.1778002146239988	0.4395375198765659	0.06739814981406703	0.21378645888295514	0.47281923961433353	0
YNL153C	GIM3	0.04231302231968482	0.4036059617460817	0.675764740110828	0.017195597965930728	0.750772791511087	0.8908276409633834	0
YNL152W	INN1	-0.06326824175604183	0.5218179827285534	0.7668265192800853	-0.07082583180104404	0.49694750482650835	0.7335679083875238	0
YNL151C	RPC31	-0.0510174270004368	0.4763418257257702	0.7337304647111722	-0.003955190459340027	0.9587001209416358	0.9846309928494194	0
YNL149C	PGA2	0.0711384712949003	0.07214007805836088	0.2592071279794917	0.07467769249977733	0.07408747747544134	0.24972677242581703	0
YNL147W	LSM7	0.04594224172526852	0.5388073076168479	0.7771654154137889	0.011277750494380566	0.8880098606262784	0.9546128354092039	0
YNL146C-A	YNL146C-A	0.031290436826621276	0.8174343866368383	0.9237366679518434	0.05631215701383382	0.7039895379215272	0.8675516030559228	0
YNL145W	MFA2	-0.11961785608438959	0.01859066951790966	0.10237401270480363	-0.06780800239754893	0.18882401780995386	0.4413938945153001	0
YNL144C	YNL144C	-0.1371282814730734	0.3239995953360889	0.6058458667463456	-0.1413398898005087	0.35010821783064994	0.6157409678509208	0
YNL321W	VNX1	-0.17599174860297392	0.09396767085167237	0.30100363061702373	-0.15223762985716333	0.19110423227298923	0.44346678142515156	0
YNL320W	YNL320W	0.08449143888173279	0.28180109375905815	0.5637172083727118	0.09586108731537599	0.26529953055079436	0.5324459456304026	0
YNL143C	YNL143C	-0.08878909850417833	0.5968360177340962	0.8137685243379695	-0.07796115092959381	0.6650639307212575	0.8461781735370932	0
YNL142W	MEP2	-0.47229679694057536	7.777043535833238e-25	7.623058073823739e-23	-0.444508221348803	7.880943073884424e-22	7.1526855565014e-20	1
YNL141W	AAH1	0.070587148393061	0.5006561493641984	0.7504647631109159	0.11559043389613466	0.2866401062811731	0.5543895662525766	0
YNL138W-A	YSF3	0.32666222274900447	0.0029792203823425438	0.025131082777729446	0.28992299735151156	0.011981333021640648	0.0675725122428778	0
YNL138W	SRV2	-0.09714372464594216	0.01443048989905998	0.08562207142287284	-0.09686665470107367	0.019747313162575768	0.09898097130549897	0
YNL137C	NAM9	-7.597562711326536e-4	0.9905491417497586	0.9966787520963544	0.019886453859796784	0.7676290290953004	0.8998605063170521	0
YNL136W	EAF7	-0.2715420338808915	0.021769936793093303	0.114972478688524	-0.2367211513975967	0.053495975687865384	0.19892547560411855	0
YNL135C	FPR1	0.05584658449445498	0.008439500695822529	0.05720884219948301	0.03570012307499434	0.09760079703229346	0.29877670596831374	0
YNL134C	YNL134C	-0.3700097800573068	5.596900906173497e-16	3.117092197858672e-14	-0.3809455468521861	3.125764817038207e-16	1.8457076347354522e-14	1
YNL133C	FYV6	-0.050025144156076784	0.7372873083308266	0.8874149433043085	0.06654721573376234	0.6727515298217095	0.8502935055900773	0
YNL132W	KRE33	0.12968388872997083	0.2070366495194256	0.4831841044260499	0.028418452180834237	0.7961603534292983	0.9135975316901807	0
YNL131W	TOM22	-3.3197304670483233e-4	0.9926253026177316	0.9971011699384101	-0.012700135219121967	0.7431670479399728	0.8871630944028245	0
YNL130C	CPT1	-0.03122444350138058	0.32853028208392254	0.608283684357123	-0.02830828684290544	0.41310266676988316	0.6687269280172551	0
YNL129W	NRK1	-0.06271706223693381	0.30652877581835297	0.589155031753803	-0.0370322717257776	0.5755512552598464	0.7939140731856198	0
YNL127W	FAR11	0.013187284921393632	0.9162700575980517	0.9640703203709856	0.0846520872831379	0.5360713378334143	0.7688866335152367	0
YNL126W	SPC98	-0.18803468168965526	0.0963902946843378	0.3064330720483852	-0.1704266110097173	0.16691044084838597	0.4135632308381899	0
YNL125C	ESBP6	0.3908426233745883	3.1499155969843856e-4	0.003719936467667584	0.4502768556214772	1.3608998368387737e-4	0.0016885493924928684	1
